year;city;country;avg_temp;avg_temp_3sma
1841;Shanghai;China;14.87;
1842;Shanghai;China;15.43;
1843;Shanghai;China;15.53;
1844;Shanghai;China;15.33;15.27666667
1845;Shanghai;China;15.43;15.43
1846;Shanghai;China;15.85;15.43
1847;Shanghai;China;15.78;15.53666667
1848;Shanghai;China;15.02;15.68666667
1849;Shanghai;China;15.44;15.55
1850;Shanghai;China;15.6;15.41333333
1851;Shanghai;China;15.22;15.35333333
1852;Shanghai;China;15.44;15.42
1853;Shanghai;China;15.79;15.42
1854;Shanghai;China;15.99;15.48333333
1855;Shanghai;China;15.84;15.74
1856;Shanghai;China;15.55;15.87333333
1857;Shanghai;China;15.93;15.79333333
1858;Shanghai;China;15.49;15.77333333
1859;Shanghai;China;15.64;15.65666667
1860;Shanghai;China;15.05;15.68666667
1861;Shanghai;China;15.29;15.39333333
1862;Shanghai;China;14.47;15.32666667
1863;Shanghai;China;15.2;14.93666667
1864;Shanghai;China;14.85;14.98666667
1865;Shanghai;China;15.72;14.84
1866;Shanghai;China;15.54;15.25666667
1867;Shanghai;China;15.95;15.37
1868;Shanghai;China;15.86;15.73666667
1869;Shanghai;China;16.09;15.78333333
1870;Shanghai;China;15.95;15.96666667
1871;Shanghai;China;16.31;15.96666667
1872;Shanghai;China;16.12;16.11666667
1873;Shanghai;China;15.74;16.12666667
1874;Shanghai;China;15.68;16.05666667
1875;Shanghai;China;15.47;15.84666667
1876;Shanghai;China;15.6;15.63
1877;Shanghai;China;15.43;15.58333333
1878;Shanghai;China;15.46;15.5
1879;Shanghai;China;16.13;15.49666667
1880;Shanghai;China;15.28;15.67333333
1881;Shanghai;China;15.63;15.62333333
1882;Shanghai;China;15.54;15.68
1883;Shanghai;China;15.41;15.48333333
1884;Shanghai;China;14.92;15.52666667
1885;Shanghai;China;14.91;15.29
1886;Shanghai;China;15.06;15.08
1887;Shanghai;China;15.65;14.96333333
1888;Shanghai;China;15.87;15.20666667
1889;Shanghai;China;15.3;15.52666667
1890;Shanghai;China;16.22;15.60666667
1891;Shanghai;China;15.72;15.79666667
1892;Shanghai;China;15.43;15.74666667
1893;Shanghai;China;15.13;15.79
1894;Shanghai;China;16.23;15.42666667
1895;Shanghai;China;15.27;15.59666667
1896;Shanghai;China;15.73;15.54333333
1897;Shanghai;China;15.6;15.74333333
1898;Shanghai;China;16.33;15.53333333
1899;Shanghai;China;15.84;15.88666667
1900;Shanghai;China;15.8;15.92333333
1901;Shanghai;China;15.26;15.99
1902;Shanghai;China;16.27;15.63333333
1903;Shanghai;China;15.56;15.77666667
1904;Shanghai;China;15.64;15.69666667
1905;Shanghai;China;15.5;15.82333333
1906;Shanghai;China;15.5;15.56666667
1907;Shanghai;China;15.57;15.54666667
1908;Shanghai;China;15.67;15.52333333
1909;Shanghai;China;15.84;15.58
1910;Shanghai;China;15.26;15.69333333
1911;Shanghai;China;15.48;15.59
1912;Shanghai;China;15.61;15.52666667
1913;Shanghai;China;15.36;15.45
1914;Shanghai;China;16.52;15.48333333
1915;Shanghai;China;16.11;15.83
1916;Shanghai;China;15.75;15.99666667
1917;Shanghai;China;15.09;16.12666667
1918;Shanghai;China;15.55;15.65
1919;Shanghai;China;15.93;15.46333333
1920;Shanghai;China;16.02;15.52333333
1921;Shanghai;China;15.58;15.83333333
1922;Shanghai;China;16.11;15.84333333
1923;Shanghai;China;15.77;15.90333333
1924;Shanghai;China;15.72;15.82
1925;Shanghai;China;15.65;15.86666667
1926;Shanghai;China;16.04;15.71333333
1927;Shanghai;China;16.13;15.80333333
1928;Shanghai;China;16.03;15.94
1929;Shanghai;China;15.96;16.06666667
1930;Shanghai;China;16.06;16.04
1931;Shanghai;China;15.64;16.01666667
1932;Shanghai;China;16.04;15.88666667
1933;Shanghai;China;15.91;15.91333333
1934;Shanghai;China;15.85;15.86333333
1935;Shanghai;China;16.33;15.93333333
1936;Shanghai;China;15.28;16.03
1937;Shanghai;China;16.09;15.82
1938;Shanghai;China;16.32;15.9
1939;Shanghai;China;16.13;15.89666667
1940;Shanghai;China;16.25;16.18
1941;Shanghai;China;16.39;16.23333333
1942;Shanghai;China;16.21;16.25666667
1943;Shanghai;China;16.01;16.28333333
1944;Shanghai;China;16.14;16.20333333
1945;Shanghai;China;15.91;16.12
1946;Shanghai;China;16.7;16.02
1947;Shanghai;China;15.87;16.25
1948;Shanghai;China;16.49;16.16
1949;Shanghai;China;16.56;16.35333333
1950;Shanghai;China;16.4;16.30666667
1951;Shanghai;China;16.18;16.48333333
1952;Shanghai;China;16.1;16.38
1953;Shanghai;China;17.03;16.22666667
1954;Shanghai;China;15.85;16.43666667
1955;Shanghai;China;16.06;16.32666667
1956;Shanghai;China;15.61;16.31333333
1957;Shanghai;China;15.6;15.84
1958;Shanghai;China;16.07;15.75666667
1959;Shanghai;China;16.54;15.76
1960;Shanghai;China;16.6;16.07
1961;Shanghai;China;17.02;16.40333333
1962;Shanghai;China;16.11;16.72
1963;Shanghai;China;16.2;16.57666667
1964;Shanghai;China;16.58;16.44333333
